artifact,path,implementation,injection_command,temperature_c,flow_mm3_s,e_total_mm,segments,tool_path,verified_sequence
Tiny cube,paper/gcode/representative/TinyCube_INJECT.gcode,Hand-authored Phase 0 block,1000 mm3,240,15,415.75,10x41.575mm,same tool,relative E; heat wait; center approach; 2 mm plunge; dwell; retract; lift
Mold2 pocket,paper/gcode/representative/Mold2_INJECT.gcode,Phase 0 cavity estimate,712 mm3,230,25.0,296.0,2x148.01mm,T0 -> T1,relative E; mold unload/cool; tool change; heat wait; port travel; 2 mm plunge; dwell; retract; lift
Cube pocket,paper/gcode/representative/mehran_cube_INJECT.gcode,Phase 0 cavity estimate,936 mm3,240,25.0,389.2,3x129.72mm,same tool,relative E; heat wait; port travel; 2 mm plunge; dwell; retract; lift
10 mm part helper,paper/gcode/representative/object-driven-injection-demo-multipart-volume.gcode,Native LavaSlicer,0.55 cm3,260/265,4.0,226.85,45 x 5 mm + 1.37 mm,T0 -> T1,typed Injection pour layer; source=injection_part_8p6dia_9p4h.stl/injection_part_8p6dia_9p4h.stl; port=(part top-center fallback); z=; stationary; heat wait; tool path T0 -> T1
30 mm port helper,paper/gcode/representative/cube30-open-mold-20mms-275c.gcode,Native LavaSlicer,27.00 cm3,260/275,48.1,11225.30,2244 x 5 mm + 4.82 mm,T0 -> T1,typed Injection pour layer; source=cube30_open_mold_injection_assembly/injection_part; port=cube30_open_mold_injection_assembly/injection_port; z=3.000 -> 31.500; rising-Z; heat wait; tool path T0 -> T1
